timeframe,horizon_bars,conditions,discovery_n,discovery_hit,discovery_lift,validation_n,validation_hit,validation_lift,validation_wilson95,oos_n,oos_hit,oos_lift,oos_wilson95
h4,1,ichimoku_cloud_bull+rsi_up1+atr_expand+mtf_volatility,168,0.16666667,3.34338972,34,0.14705882,2.82237601,0.06449441,26,0.11538462,3.62774417,0.04003245
h4,1,volatility+pin_bull+mtf_trend_bull,299,0.16387960,3.28748019,58,0.13793103,2.64719405,0.07158487,69,0.08695652,2.73395213,0.04046362
h4,1,volatility+pin_bull+cross_group_bull,202,0.16336634,3.27718398,57,0.17543860,3.36704506,0.09818852,40,0.10000000,3.14404494,0.03957953
h4,1,sma_stack_bull+volatility+pin_bull,157,0.15923567,3.19432139,36,0.08333333,1.59934641,0.02874861,19,0.05263158,1.65476050,0.00935199
h4,1,ichimoku_cloud_bull+atr_expand+impulse_bull+mtf_volatility,171,0.15789474,3.16742184,32,0.15625000,2.99877451,0.06864420,27,0.14814815,4.65784436,0.05915928
h4,1,adx25+pin_bull,588,0.15646259,3.13869239,149,0.12751678,2.44732202,0.08317652,130,0.05384615,1.69294728,0.02632496
h4,1,pin_bull+mtf_volatility+cross_group_return_up,250,0.15600000,3.12941277,49,0.16326531,3.13341337,0.08512698,53,0.07547170,2.37286411,0.02973956
h4,1,adx25+atr_expand+mtf_volatility+cross_target_relative_up,304,0.15460526,3.10143388,57,0.14035088,2.69363605,0.07287276,35,0.20000000,6.28808989,0.10042446
h4,1,ichimoku_cloud_bull+atr_expand+mtf_volatility,569,0.15114236,3.03196677,100,0.20000000,3.83843137,0.13336693,93,0.15053763,4.73297088,0.09184177
h4,1,sma_stack_bull+adx25+atr_expand+mtf_adx25,482,0.14937759,2.99656506,55,0.05454545,1.04684492,0.01872322,35,0.05714286,1.79659711,0.01581316
h4,1,rsi_up1+atr_expand+mtf_volatility,378,0.14814815,2.97190197,68,0.14705882,2.82237601,0.08188818,58,0.17241379,5.42076714,0.09644293
h4,1,rsi_up1+atr_expand+impulse_bull+mtf_volatility,338,0.14792899,2.96750567,58,0.13793103,2.64719405,0.07158487,50,0.18000000,5.65928090,0.09770193
h4,1,pin_bull+mtf_adx25,585,0.14529915,2.91475001,78,0.07692308,1.47631976,0.03573046,117,0.05128205,1.61233074,0.02371238
h4,1,sma_stack_bull+atr_expand+mtf_volatility,359,0.14484680,2.90567574,62,0.12903226,2.47640734,0.06685878,49,0.16326531,5.13313460,0.08512698
h4,1,volatility+pin_bull+cross_group_return_up,235,0.14468085,2.90234682,61,0.16393443,3.14625522,0.09156012,43,0.09302326,2.92469297,0.03677164
h4,1,atr_expand+impulse_bull+mtf_volatility,362,0.14364641,2.88159556,63,0.14285714,2.74173669,0.07701948,62,0.17741935,5.57814426,0.10206438
h4,1,ichimoku_cloud_bull+adx25+atr_expand+mtf_trend_bull,849,0.14134276,2.83538351,119,0.10084034,1.93534355,0.05863030,143,0.09790210,3.07808596,0.05921671
h4,1,ichimoku_cloud_bull+adx25+pin_bull,306,0.14052288,2.81893643,75,0.12000000,2.30305882,0.06443372,71,0.07042254,2.21411616,0.03045360
h4,1,atr_expand+mtf_volatility,1172,0.13993174,2.80707806,192,0.16145833,3.09873366,0.11613945,172,0.14534884,4.56983277,0.10042961
h4,1,pin_bull+mtf_adx25+cross_group_bull,237,0.13924051,2.79321166,30,0.13333333,2.55895425,0.05309655,62,0.08064516,2.53552012,0.03493835
h4,1,rsi_up1+triangle_breakout_up+impulse_bull,151,0.13907285,2.78984837,21,0.14285714,2.74173669,0.04981012,16,0.06250000,1.96502809,0.01111934
h4,1,ichimoku_cloud_bull+adx25+atr_expand+mtf_adx25,634,0.13880126,2.78440027,75,0.13333333,2.55895425,0.07406585,79,0.11392405,3.58182335,0.06110579
h4,1,ichimoku_cloud_bull+adx25+pin_bull+mtf_trend_bull,225,0.13777778,2.76386883,45,0.11111111,2.13246187,0.04840472,60,0.06666667,2.09602996,0.02622870
h4,1,rsi_up1+triangle_breakout_up,153,0.13725490,2.75337977,24,0.12500000,2.39901961,0.04344334,16,0.06250000,1.96502809,0.01111934
h4,1,rsi_up1+triangle_breakout_up+retest_up,153,0.13725490,2.75337977,22,0.13636364,2.61711230,0.04749004,16,0.06250000,1.96502809,0.01111934
h4,1,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_return_up,242,0.13636364,2.73550068,42,0.23809524,4.56956116,0.13480964,36,0.08333333,2.62003745,0.02874861
h4,1,rsi_cross55_up+volatility+breakout20_up+elliott_impulse_bull,171,0.13450292,2.69817416,32,0.09375000,1.79926471,0.03240155,26,0.07692308,2.41849611,0.02135509
h4,1,rsi_cross55_up+volatility+retest_up+elliott_impulse_bull,171,0.13450292,2.69817416,30,0.03333333,0.63973856,0.00590859,26,0.07692308,2.41849611,0.02135509
h4,1,sma_stack_bull+atr_expand+mtf_volatility+cross_group_return_up,164,0.13414634,2.69102099,23,0.17391304,3.33776641,0.06978654,19,0.15789474,4.96428149,0.05520472
h4,1,sma_stack_bull+adx25+atr_expand+mtf_trend_bull,695,0.13381295,2.68433304,94,0.09574468,1.83754693,0.05119196,66,0.04545455,1.42911134,0.01557827
h4,1,price200_bull+rsi_up1+atr_expand+mtf_volatility,187,0.13368984,2.68186341,37,0.13513514,2.59353471,0.05913294,31,0.00000000,0.00000000,0.00000000
h4,1,adx25+pin_bull+mtf_trend_bull,340,0.13235294,2.65504477,75,0.10666667,2.04716340,0.05504913,94,0.06382979,2.00683720,0.02957974
h4,1,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_group_bull,205,0.13170732,2.64209334,37,0.24324324,4.66836248,0.13361353,30,0.06666667,2.09602996,0.01847702
h4,1,pin_bull+mtf_adx25+cross_group_return_up,281,0.13167260,2.64139686,33,0.12121212,2.32632204,0.04816161,69,0.07246377,2.27829344,0.03134777
h4,1,adx25+breakout20_up+impulse_bull+mtf_volatility,487,0.13141684,2.63626622,82,0.14634146,2.80860832,0.08574162,88,0.10227273,3.21550051,0.05474450
h4,1,ichimoku_cloud_bull+rsi_up1+superbb_bull+elliott_impulse_bull,160,0.13125000,2.63291940,36,0.19444444,3.73180828,0.09753095,22,0.09090909,2.85822268,0.02529543
h4,1,ichimoku_cloud_bull+superbb_bull+breakout20_up+elliott_impulse_bull,160,0.13125000,2.63291940,39,0.17948718,3.44474610,0.08977265,22,0.09090909,2.85822268,0.02529543
h4,1,ichimoku_cloud_bull+superbb_bull+retest_up+elliott_impulse_bull,160,0.13125000,2.63291940,38,0.15789474,3.03034056,0.07443863,22,0.09090909,2.85822268,0.02529543
h4,1,price200_bull+adx25+atr_expand+mtf_adx25,603,0.13101161,2.62813719,75,0.04000000,0.76768627,0.01369606,60,0.06666667,2.09602996,0.02622870
h4,1,adx25+atr_expand+impulse_bull+mtf_adx25,352,0.13068182,2.62152148,49,0.08163265,1.56670668,0.03220282,34,0.11764706,3.69887640,0.04671447
h4,1,ichimoku_cloud_bull+pin_bull+mtf_adx25,330,0.13030303,2.61392287,44,0.09090909,1.74474153,0.03592219,57,0.08771930,2.75793416,0.03805167
h4,1,rsi_up1+superbb_bull+elliott_wave5_bull+cross_group_return_up,186,0.12903226,2.58843075,40,0.15000000,2.87882353,0.07061188,36,0.11111111,3.49338327,0.04406640
h4,1,adx25+atr_expand+mtf_adx25,1102,0.12885662,2.58490748,156,0.07051282,1.35329311,0.03982640,131,0.09160305,2.88004117,0.05317812
h4,1,adx25+horizontal_break_up+impulse_bull+mtf_volatility,365,0.12876712,2.58311205,51,0.07843137,1.50526720,0.03092220,51,0.09803922,3.08239700,0.04260807
h4,1,ichimoku_cloud_bull+adx25+atr_expand+horizontal_break_up,171,0.12865497,2.58086224,26,0.11538462,2.21447964,0.04003245,15,0.06666667,2.09602996,0.01186690
h4,1,pin_bull+mtf_adx25+cross_target_relative_up,281,0.12811388,2.57000775,33,0.06060606,1.16316102,0.01678088,61,0.04918033,1.54625161,0.01686598
h4,1,adx25+atr_expand+mtf_volatility+cross_group_return_up,290,0.12758621,2.55942247,54,0.18518519,3.55410312,0.10382686,28,0.10714286,3.36861958,0.03711837
h4,1,price200_bull+superbb_bull+elliott_wave5_bull+cross_group_return_up,157,0.12738854,2.55545711,36,0.16666667,3.19869281,0.07870448,29,0.06896552,2.16830686,0.01912127
h4,1,ichimoku_cloud_bull+superbb_bull+impulse_bull+elliott_impulse_bull,165,0.12727273,2.55313397,38,0.15789474,3.03034056,0.07443863,22,0.09090909,2.85822268,0.02529543
h4,1,rsi_up1+superbb_bull+breakout20_up+mtf_trend_bull,150,0.12666667,2.54097618,38,0.21052632,4.04045408,0.11074792,21,0.04761905,1.49716426,0.00845599
h4,1,rsi_up1+superbb_bull+retest_up+mtf_trend_bull,150,0.12666667,2.54097618,33,0.09090909,1.74474153,0.03140394,21,0.04761905,1.49716426,0.00845599
h4,1,adx25+atr_expand+elliott_wave3_bull+mtf_adx25,158,0.12658228,2.53928333,27,0.03703704,0.71082062,0.00656815,15,0.20000000,6.28808989,0.07047549
h4,1,volatility+breakout20_up+impulse_bull+mtf_volatility,396,0.12626263,2.53287100,68,0.08823529,1.69342561,0.04106812,56,0.07142857,2.24574639,0.02812604
h4,1,rsi_up1+volatility+breakout20_up+mtf_volatility,317,0.12618297,2.53127297,55,0.09090909,1.74474153,0.03945816,40,0.05000000,1.57202247,0.01382067
h4,1,ichimoku_cloud_bull+superbb_bull+elliott_impulse_bull,167,0.12574850,2.52255751,39,0.17948718,3.44474610,0.08977265,22,0.09090909,2.85822268,0.02529543
h4,1,adx25+atr_expand+elliott_wave3_bull+mtf_trend_bull,175,0.12571429,2.52187110,26,0.15384615,2.95263952,0.06150034,13,0.15384615,4.83699222,0.04325818
h4,1,adx25+atr_expand+mtf_volatility+cross_group_bull,232,0.12500000,2.50754229,49,0.18367347,3.52509004,0.09976341,28,0.10714286,3.36861958,0.03711837
h4,1,superbb_bull+impulse_bull+elliott_wave5_bull+cross_group_return_up,192,0.12500000,2.50754229,42,0.14285714,2.74173669,0.06715967,36,0.11111111,3.49338327,0.04406640
h4,1,rsi_cross55_up+breakout20_up+mtf_adx25,184,0.12500000,2.50754229,36,0.02777778,0.53311547,0.00492041,46,0.08695652,2.73395213,0.03433587
h4,1,rsi_cross55_up+retest_up+mtf_adx25,184,0.12500000,2.50754229,36,0.02777778,0.53311547,0.00492041,46,0.08695652,2.73395213,0.03433587
h4,1,price200_bull+rsi_up1+superbb_bull+cross_group_return_up,184,0.12500000,2.50754229,45,0.24444444,4.69141612,0.14235479,34,0.05882353,1.84943820,0.01628266
h4,1,rsi_cross55_up+breakout20_up+retest_up+mtf_adx25,184,0.12500000,2.50754229,36,0.02777778,0.53311547,0.00492041,46,0.08695652,2.73395213,0.03433587
h4,1,rsi_up1+superbb_bull+impulse_bull+mtf_trend_bull,160,0.12500000,2.50754229,36,0.11111111,2.13246187,0.04406640,21,0.04761905,1.49716426,0.00845599
h4,1,superbb_bull+elliott_wave5_bull+cross_group_return_up,193,0.12435233,2.49454984,42,0.14285714,2.74173669,0.06715967,36,0.11111111,3.49338327,0.04406640
h4,1,price200_bull+atr_expand+mtf_volatility,539,0.12430427,2.49358565,94,0.11702128,2.24589070,0.06661363,90,0.11111111,3.49338327,0.06148319
h4,1,rsi_cross55_up+volatility+elliott_impulse_bull+mtf_adx25,177,0.12429379,2.49337538,23,0.04347826,0.83444160,0.00771667,27,0.03703704,1.16446109,0.00656815
h4,1,rsi_up1+superbb_bull+mtf_trend_bull,161,0.12422360,2.49196749,40,0.20000000,3.83843137,0.10499990,21,0.04761905,1.49716426,0.00845599
h4,1,ichimoku_cloud_bull+rsi_up1+superbb_bull+elliott_wave3_bull,153,0.12418301,2.49115312,34,0.20588235,3.95132641,0.10349527,16,0.12500000,3.93005618,0.03497749
h4,1,price200_bull+atr_expand+impulse_bull+mtf_volatility,202,0.12376238,2.48271514,36,0.11111111,2.13246187,0.04406640,37,0.05405405,1.69948375,0.01495098
h4,1,triangle_breakout_up+impulse_bull,186,0.12365591,2.48057947,25,0.16000000,3.07074510,0.06403451,22,0.04545455,1.42911134,0.00806943
h4,1,superbb_bull+breakout20_up+elliott_wave5_bull+cross_group_return_up,186,0.12365591,2.48057947,40,0.15000000,2.87882353,0.07061188,36,0.11111111,3.49338327,0.04406640
h4,1,superbb_bull+retest_up+elliott_wave5_bull+cross_group_return_up,186,0.12365591,2.48057947,40,0.15000000,2.87882353,0.07061188,36,0.11111111,3.49338327,0.04406640
h4,1,adx25+atr_expand+elliott_impulse_bull+mtf_adx25,170,0.12352941,2.47804179,29,0.03448276,0.66179851,0.00611321,16,0.18750000,5.89508427,0.06591599
h4,1,rsi_up1+volatility+retest_up+mtf_volatility,316,0.12341772,2.47580125,53,0.07547170,1.44846467,0.02973956,38,0.05263158,1.65476050,0.01455421
h4,1,superbb_bull+breakout20_up+mtf_trend_bull,154,0.12337662,2.47497680,40,0.20000000,3.83843137,0.10499990,22,0.04545455,1.42911134,0.00806943
h4,1,superbb_bull+retest_up+mtf_trend_bull,154,0.12337662,2.47497680,35,0.08571429,1.64504202,0.02958237,22,0.04545455,1.42911134,0.00806943
h4,1,superbb_bull+breakout20_up+retest_up+mtf_trend_bull,154,0.12337662,2.47497680,35,0.08571429,1.64504202,0.02958237,22,0.04545455,1.42911134,0.00806943
h4,1,superbb_bull+breakout20_up+impulse_bull+mtf_trend_bull,154,0.12337662,2.47497680,36,0.11111111,2.13246187,0.04406640,22,0.04545455,1.42911134,0.00806943
h4,1,adx25+volatility+breakout20_up+mtf_volatility,300,0.12333333,2.47410839,51,0.11764706,2.25790081,0.05505074,49,0.08163265,2.56656730,0.03220282
h4,1,sma_stack_bull+rsi_up1+horizontal_break_up+mtf_volatility,268,0.12313433,2.47011628,50,0.06000000,1.15152941,0.02061497,34,0.00000000,0.00000000,0.00000000
h4,1,adx25+atr_expand+breakout20_up+mtf_trend_bull,171,0.12280702,2.46355032,26,0.15384615,2.95263952,0.06150034,14,0.14285714,4.49149278,0.04009392
h4,1,adx25+atr_expand+retest_up+mtf_trend_bull,171,0.12280702,2.46355032,23,0.04347826,0.83444160,0.00771667,13,0.15384615,4.83699222,0.04325818
h4,1,adx25+atr_expand+mtf_adx25+cross_target_relative_up,473,0.12262156,2.45983007,78,0.03846154,0.73815988,0.01316583,57,0.10526316,3.30952099,0.04914466
h4,1,volatility+elliott_wave3_bull+mtf_volatility+cross_group_bull,367,0.12261580,2.45971451,64,0.12500000,2.39901961,0.06472243,52,0.03846154,1.20924806,0.01061171
h4,1,adx25+volatility+breakout20_up+mtf_adx25,359,0.12256267,2.45864871,61,0.06557377,1.25850209,0.02579370,71,0.04225352,1.32846969,0.01447326
h4,1,price200_bull+volatility+pin_bull,253,0.12252964,2.45798612,69,0.13043478,2.50332481,0.07016628,28,0.03571429,1.12287319,0.00633252
h4,1,ichimoku_cloud_bull+pin_bull,793,0.12232030,2.45378665,231,0.11255411,2.16015618,0.07797650,172,0.06395349,2.01072642,0.03608251
h4,1,price200_bull+superbb_bull+breakout20_up+cross_group_return_up,180,0.12222222,2.45181913,46,0.23913043,4.58942882,0.13912178,34,0.05882353,1.84943820,0.01628266
h4,1,price200_bull+superbb_bull+retest_up+cross_group_return_up,180,0.12222222,2.45181913,42,0.16666667,3.19869281,0.08315917,34,0.05882353,1.84943820,0.01628266
h4,1,sma_stack_bull+horizontal_break_up+impulse_bull+mtf_volatility,377,0.12201592,2.44768054,63,0.06349206,1.21854964,0.02496562,61,0.01639344,0.51541720,0.00289973
h4,1,adx25+volatility+impulse_bull+mtf_volatility,1082,0.12199630,2.44728711,181,0.13259669,2.54481638,0.09074899,188,0.10106383,3.17749223,0.06565858
h4,1,superbb_bull+impulse_bull+mtf_trend_bull,164,0.12195122,2.44638272,38,0.10526316,2.02022704,0.04170257,22,0.04545455,1.42911134,0.00806943
h4,1,ichimoku_cloud_bull+superbb_bull+breakout20_up+elliott_wave3_bull,156,0.12179487,2.44324633,37,0.18918919,3.63094860,0.09479979,16,0.12500000,3.93005618,0.03497749
h4,1,ichimoku_cloud_bull+superbb_bull+retest_up+elliott_wave3_bull,156,0.12179487,2.44324633,36,0.16666667,3.19869281,0.07870448,16,0.12500000,3.93005618,0.03497749
h4,1,adx25+atr_expand+mtf_trend_bull,1242,0.12157810,2.43889781,172,0.09302326,1.78531692,0.05807116,185,0.09729730,3.05907076,0.06243366
h4,1,adx25+impulse_bull+elliott_wave5_bull+mtf_volatility,502,0.12151394,2.43761083,76,0.15789474,3.03034056,0.09269497,87,0.10344828,3.25246029,0.05538511
h4,1,rsi_cross55_up+breakout20_up+impulse_bull+mtf_adx25,173,0.12138728,2.43506997,35,0.02857143,0.54834734,0.00506149,44,0.06818182,2.14366701,0.02345940
h4,1,ichimoku_cloud_bull+atr_expand+mtf_volatility+cross_target_relative_up,256,0.12109375,2.42918159,48,0.16666667,3.19869281,0.08695514,33,0.21212121,6.66918624,0.10676022
h4,1,price200_bull+superbb_bull+impulse_bull+cross_group_return_up,190,0.12105263,2.42835674,45,0.17777778,3.41193900,0.09294390,34,0.05882353,1.84943820,0.01628266
h4,1,price200_bull+rsi_up1+superbb_bull+mtf_trend_bull,157,0.12101911,2.42768425,40,0.20000000,3.83843137,0.10499990,21,0.04761905,1.49716426,0.00845599
h4,1,price200_bull+pin_bull+mtf_volatility,232,0.12068966,2.42107531,44,0.15909091,3.05329768,0.07926677,23,0.04347826,1.36697606,0.00771667
h4,1,atr_expand+mtf_volatility+cross_target_relative_up,514,0.12062257,2.41972952,88,0.15909091,3.05329768,0.09719902,70,0.20000000,6.28808989,0.12304739
h4,3,adx25+volatility+pin_bull+mtf_volatility,159,0.54716981,3.40840123,23,0.34782609,2.11592401,0.18811276,28,0.39285714,3.26006185,0.23565687
h4,3,volatility+pin_bull+mtf_volatility,246,0.50000000,3.11457353,41,0.39024390,2.37396353,0.25656145,36,0.41666667,3.45764136,0.27140562
h4,3,adx25+volatility+pin_bull+mtf_adx25,163,0.49693252,3.09546572,12,0.25000000,1.52082039,0.08894167,28,0.25000000,2.07458482,0.12676495
h4,3,adx25+pin_bull+mtf_volatility,254,0.48818898,3.04100093,43,0.39534884,2.40501828,0.26365315,48,0.41666667,3.45764136,0.28849668
h4,3,adx25+volatility+pin_bull,268,0.48134328,2.99835810,71,0.32394366,1.97064050,0.22657212,57,0.26315789,2.18377349,0.16645787
h4,3,ichimoku_cloud_bull+pin_bull+mtf_volatility,235,0.45957447,2.86275695,52,0.40384615,2.45670985,0.28159734,36,0.36111111,2.99662251,0.22475593
h4,3,pin_bull+mtf_volatility,488,0.43237705,2.69334023,111,0.43243243,2.63060823,0.34405637,86,0.38372093,3.18424646,0.28801440
h4,3,adx25+pin_bull+mtf_adx25,310,0.42903226,2.67250503,30,0.33333333,2.02776051,0.19230498,67,0.20895522,1.73398134,0.12875685
h4,3,ichimoku_cloud_bull+volatility+pin_bull,243,0.42386831,2.64033806,66,0.33333333,2.02776051,0.23156429,59,0.28813559,2.39104691,0.18836500
h4,3,stoch_cross_up+pin_bull,231,0.41991342,2.61570245,65,0.44615385,2.71407946,0.33169527,42,0.28571429,2.37095408,0.17167025
h4,3,volatility+pin_bull+mtf_adx25,250,0.41600000,2.59132518,28,0.32142857,1.95534050,0.17933247,35,0.34285714,2.84514489,0.20831695
h4,3,ichimoku_cloud_bull+volatility+pin_bull+mtf_trend_bull,184,0.41304348,2.57290857,37,0.32432432,1.97295618,0.19633267,52,0.28846154,2.39375171,0.18329960
h4,3,volatility+pin_bull,479,0.41127349,2.56188303,119,0.33613445,2.04480052,0.25756607,82,0.29268293,2.42878222,0.20526339
h4,3,volatility+pin_bull+mtf_trend_bull,299,0.40468227,2.52082540,58,0.25862069,1.57326247,0.16345545,69,0.31884058,2.64584730,0.22094760
h4,3,pin_bull+mtf_volatility+cross_group_bull,211,0.39810427,2.47985002,45,0.37777778,2.29812858,0.25108085,47,0.36170213,3.00152697,0.23966213
h4,3,adx25+pin_bull+mtf_trend_bull+cross_group_bull,151,0.39735099,2.47515778,41,0.26829268,1.63209993,0.15694964,47,0.19148936,1.58904369,0.10415933
h4,3,adx25+pin_bull+mtf_trend_bull+cross_group_return_up,180,0.39444444,2.45705245,42,0.28571429,1.73808044,0.17167025,52,0.17307692,1.43625103,0.09382474
h4,3,pin_bull+mtf_volatility+cross_group_return_up,250,0.38800000,2.41690906,49,0.40816327,2.48297206,0.28215239,53,0.33962264,2.81830390,0.22687039
h4,3,adx_up3+pin_bull+mtf_trend_bull,160,0.38750000,2.41379449,39,0.35897436,2.18374209,0.22742085,55,0.30909091,2.56494123,0.20282288
h4,3,ichimoku_cloud_bull+adx25+pin_bull+mtf_trend_bull,225,0.38666667,2.40860353,45,0.28888889,1.75739245,0.17730082,60,0.20000000,1.65966785,0.11828505
h4,3,volatility+pin_bull+cross_group_bull,202,0.38613861,2.40531421,57,0.35087719,2.13448475,0.24000422,40,0.32500000,2.69696026,0.20084502
h4,3,adx25+pin_bull,588,0.38095238,2.37300841,149,0.32885906,2.00054225,0.25855641,130,0.22307692,1.85116799,0.16004939
h4,3,ichimoku_cloud_bull+pin_bull+mtf_adx25+cross_target_relative_up,161,0.37888199,2.36011162,19,0.21052632,1.28069085,0.08507677,30,0.23333333,1.93627916,0.11792388
h4,3,sma_stack_bull+adx25+atr_expand+mtf_volatility,204,0.37745098,2.35119767,37,0.37837838,2.30178220,0.24063999,15,0.20000000,1.65966785,0.07047549
h4,3,trend_bull+pin_bull+mtf_volatility,159,0.37735849,2.35062154,23,0.39130435,2.38041452,0.22157623,17,0.35294118,2.92882562,0.17309720
h4,3,ichimoku_cloud_bull+adx25+pin_bull,306,0.37581699,2.34101932,75,0.33333333,2.02776051,0.23708221,71,0.21126761,1.75317027,0.13242551
h4,3,adx25+pin_bull+mtf_trend_bull,340,0.37352941,2.32676964,75,0.26666667,1.62220841,0.17976314,94,0.20212766,1.67732389,0.13339482
h4,3,adx_up3+pin_bull,258,0.37209302,2.31782216,65,0.38461538,2.33972367,0.27595007,61,0.31147541,2.58472862,0.20937433
h4,3,volatility+pin_bull+cross_group_return_up,235,0.36595745,2.27960276,61,0.36065574,2.19397039,0.25174112,43,0.32558140,2.70178488,0.20493297
h4,3,sma_stack_bull+volatility+pin_bull,157,0.36305732,2.26153747,36,0.16666667,1.01388026,0.07870448,19,0.31578947,2.62052819,0.15364379
h4,3,pin_bull+mtf_adx25+cross_target_relative_up,281,0.36298932,2.26111388,33,0.24242424,1.47473492,0.12831713,61,0.26229508,2.17661358,0.16838786
h4,3,pin_bull+mtf_adx25,585,0.36068376,2.24675219,78,0.29487179,1.79378815,0.20524218,117,0.25641026,2.12777930,0.18591679
h4,3,pin_bull+mtf_volatility+cross_target_relative_up,234,0.35897436,2.23610408,56,0.41071429,2.49849063,0.29166774,44,0.43181818,3.58337377,0.29682723
h4,3,volatility+pin_bull+cross_target_relative_up,204,0.35784314,2.22905753,64,0.37500000,2.28123058,0.26665980,46,0.32608696,2.70598019,0.20865943
h4,3,adx_up3+atr_expand+mtf_volatility,431,0.35730858,2.22572772,68,0.33823529,2.05758052,0.23714253,87,0.24137931,2.00304741,0.16364163
h4,3,trend_bull+volatility+pin_bull,178,0.35393258,2.20469812,44,0.25000000,1.52082039,0.14574214,22,0.40909091,3.39477515,0.23255816
h4,3,ichimoku_cloud_bull+adx25+pin_bull+cross_group_return_up,164,0.35365854,2.20299104,40,0.47500000,2.88955873,0.32935470,43,0.18604651,1.54387707,0.09741751
h4,3,adx25+pin_bull+cross_group_return_up,284,0.35211268,2.19336164,76,0.38157895,2.32125217,0.28057077,75,0.17333333,1.43837881,0.10419146
h4,3,ichimoku_cloud_bull+pin_bull+mtf_adx25,330,0.35151515,2.18963958,44,0.27272727,1.65907678,0.16346382,57,0.28070175,2.32935839,0.18079399
h4,3,adx25+pin_bull+cross_group_bull,237,0.34599156,2.15523232,71,0.38028169,2.31336059,0.27627173,66,0.19696970,1.63452137,0.11888640
h4,3,adx25+pin_bull+cross_target_relative_up,262,0.34351145,2.13978334,73,0.31506849,1.91665035,0.22003625,63,0.22222222,1.84407539,0.13725008
h4,3,trend_bull+volatility+pin_bull+mtf_trend_bull,155,0.34193548,2.12996642,38,0.23684211,1.44077721,0.12993707,22,0.40909091,3.39477515,0.23255816
h4,3,trend_bull+atr_expand+mtf_volatility+cross_group_return_up,185,0.34054054,2.12127711,29,0.27586207,1.67814663,0.14698755,23,0.26086957,2.16478416,0.12548616
h4,3,ichimoku_cloud_bull+pin_bull,793,0.33543506,2.08947430,231,0.32034632,1.94875686,0.26353470,172,0.19767442,1.64036939,0.14504728
